content,sentiment
陈姥姥和何老师讲的特别棒，收获颇丰,1
很好很贴心！,1
有点敷衍了，内容少，连贯性一般，差强人意,0
视频讲解非常详细,1
没给代码，课件也没有,1
课程设计很好,1
老师讲课细致，授课内容充实,1
适合于预先复习了的同学。,1
简直是太好了，这是我最喜欢的课程,1
数据结构比较难以理解，而且他和程序设计有些区别，但是也有相同之处。总而言之，学习数据结构需要多多联系和阅读有关书籍。,1
在课程里收获很多,1
啥时候给证书啊,1
内容有容量很精彩,1
老师上的很好，讲课方式我很喜欢,1
老师讲课幽默风趣、清晰明了，真的强烈推荐！,1
这个课特别好特别好，特别喜欢这个老师的讲课内容，很有激情，听的时候自己懂了很多东西，目前还没学完，我会继续听课的！给老师和助理点赞。有一个小小建议，同一章节的PPT可不可以稍微合并一下，每点开一个视频就要下载一下，不太方便,1
收益非常多,1
这样学习起来比较生动有趣，不会那么枯燥乏味而且时间上安排的很合理，总之就是很方便。,1
简单易懂，思路清晰,1
老师布置作业时间不固定，提交作业的截止时间也不固定，导致我错过了好几次作业和单元测试,1
老师讲解的特别细心，很棒的一门课程,1
老师讲的很好，很有收获，不过有的东西还是得自己慢慢理解,1
通过mooc的学习，我受益匪浅，每次在课堂上没有的内容，我都会课后通过mooc补缺补差，提高了我的学习效率,1
老师讲的太棒，收获很大，谢谢！,1
经过本课学习对数据结构更加了解清楚，希望能越来越好！,1
老师讲解清晰，知识点明确。,1
讲的非常透彻！,1
老师讲的很细,1
课程讲解很全面,1
讲太快了，是我太菜了。离开了。,0
对计算机的了解，进阶理解。,1
所谓“万事开头难”，但是不要怕，现在的大侠都是从勤奋的小白开始的,1
很棒，不过我太笨了，不是很懂，哈哈哈,1
老师讲课超级好！！！非常幽默，知识讲解也很到位,1
讲授的很快，需要观看至少两次视频，配合课件共同学习才能完全听明白,0
姥姥nb,1
老师讲的非常好，简单易懂。课程内容非常详实。为中国大学MOOC平台点赞！,1
刘老师的课程超出我的想象。我做为一个42岁自学软件的爱好者，自学的难度可想而知。看了几十个老师的讲课，刘老师的讲课深入浅出，正是我所想要的。非常感谢刘老师的辛勤付出。有一个小小的建议，视频画面切换太频繁，太闪眼睛了。建议视频剪辑人员处理一下。,1
详细周到，对于基础部分很重视,1
请问这是苏州大学的学生自己用的教材吗,1
能学到很多东西，解惑,1
老师讲的特别细心，收获很大,1
生动，清晰，详细，思路也很清晰，比只读ppt的好太多,1
新手适合，讲解很详细,1
内容很全面，老师讲解也挺到位。可以适当增加实验课程，毕竟操作系统还是需要实验的。还有给老师们一个建议：就是讲课时可以稍微放松些，感觉有些太严肃了。,1
讲的很棒，题量也非常的充分,1
这些课程受益匪浅,1
课程内容合适老师讲的很好很容易理解,1
学习心得，以命令为核心，理解并记忆，多理解，多操作，,1
老师讲得很到位很细心,1
讲的不错，但没有吹的那么神,0
老师讲的真的是太太太棒了，清楚透彻,1
关于代码的讲解上稍微有点快，容易更不上,0
老师讲的很好，十分有条理,1
老师非常棒！讲的很详细也很通俗。有例题再加上老师的讲解，对于知识把握又深了一步!,1
真的很好，老师讲的挺好的。,1
老师讲的非常好，可是能不能说下参考书（教材）呢？,0
还行还行还行,0
"现在绝大部分老师上课都照着PPT念,能亲自敲代码上课的老师不多了,点赞周老师!",1
谢谢各位老师,1
刚开始新手入门，想学一下数据结构推荐入门学习吗？会不会太难了，不太容易理解。,1
背景音乐很难受，视频制作人将背景音乐去除最好。,0
很好，学到了很多知识,1
老师讲课非常好，思路清晰，学生听起来通俗易懂，赞赞赞,1
老师讲的很细腻,1
完美无缺，简直不能再棒了,1
学会如何降低自己程序中所要的时间复杂度,1
栈一节中的括号匹配有问题,0
学到了很多，但是章节测试填空题是个败笔,0
很好，刘艳君老师讲的特别通俗易懂,1
讲的很详细，点赞！,1
真的很难，老师讲的很好,1
好太好了，good,1
学习之后觉得对自己帮助很大,1
感受非常好,1
赞，思路很清晰,1
非常好，有非常好的体验感,1
课程很好，真的。,1
课程很详细,1
操作系统的内容理论性强，抽象性强，老师讲课速度快。老师讲解的还是还是很精炼的,1
课程超级优秀,1
