Comment,cut_comment,knn_sentiment
课程太过简短了，当然你也可以说学生应该学会课后自学，但如果大部分都要自学的话就不用这个课程，而且那个男的老师，说话口齿不太清楚，不仅口吃不清，完全就是念ppt，居然还是国家精品？,课程 太过 简短 当然 说 学生 应该 学会 课后 自学 大部分 都 自学 不用 课程 男 老师 说话 口齿 不太 清楚 口吃 不清 完全 念 ppt 居然 国家精品,1
真心很推荐初学者选择这个课程，经常结合各种例子通俗易懂，而且总结也很到位，不像别的上来就一堆枯燥术语轮番轰炸。。,真心 很 推荐 初学者 选择 课程 经常 结合 例子 通俗易懂 总结 很 到位 不像 上来 一堆 枯燥 术语 轮番 轰炸,1
我觉得这个课程完全可以作为国家精品课程。同时看过其他几个学校的操作系统课程，感觉这个讲的最具体清晰，课程结构合理。,觉得 课程 完全 国家精品 课程 看过 几个 学校 操作系统 课程 感觉 讲 最 具体 清晰 课程 结构合理,1
很好，老师的普通话很标准。,很 好 老师 普通话 很 标准,1
学校里的操作系统上课我一节没有听，就听了这些课，都全靠各位老师教授相救，期末考了90，感谢各位老师教授。,学校 里 操作系统 上课 一节 没有 听 听 课 都 全靠 老师 教授 相救 期末考 90 感谢 老师 教授,1
苏大的这个操作系统是真正的拿出诚意来了！第一次看到，还要上课实录的时候，非常惊喜，感觉就像在教室里一样，李培峰教授也讲的非常清楚，跟着课程走就不会有什么问题，推荐！,苏大 操作系统 真正 拿出 诚意 第一次 看到 还要 上课 实录 非常 惊喜 感觉 教室 里 李培峰 教授 讲 非常 清楚 跟着 课程 走 不会 问题 推荐,1
内容很全面，老师讲解也挺到位。可以适当增加实验课程，毕竟操作系统还是需要实验的。还有给老师们一个建议：就是讲课时可以稍微放松些，感觉有些太严肃了。,内容 很 全面 老师 讲解 挺 到位 适当 增加 实验 课程 毕竟 操作系统 需要 实验 老师 建议 讲课 时 稍微 放松 些 感觉 太 严肃,1
课程讲解详细，内容充实，受益匪浅。,课程 讲解 详细 内容 充实 受益匪浅,1
ok111,ok111,1
哇！超出预期了,超出 预期,1
学习起来非常方便，讲解也非常详细,学习 起来 非常 方便 讲解 非常 详细,1
结构清晰，讲解详细,结构 清晰 讲解 详细,1
结合各种例子通俗易懂，讲解详细，内容充实。推荐！,结合 例子 通俗易懂 讲解 详细 内容 充实 推荐,1
很好，收获很大,很 好 收获 很大,1
好，特别棒，太棒了,好 特别 棒 太棒了,1
老师讲课很好 题目针对性也很强,老师 讲课 很 好 题目 针对性 很 强,1
讲的太好了,讲 太好了,1
好好好好好好,好好 好好 好好,1
非常棒，简单明了，内容也很充实。,非常 棒 简单明了 内容 很 充实,1
感觉课程内容里面的一些问题讲课时是没有提到的，可以引导学生看一些课外读物。加深对于这部分课程的理解,感觉 课程内容 里面 问题 讲课 时 没有 提到 引导 学生 看 课外读物 加深 这部分 课程 理解,1
课程安排合理。练习紧跟课件。,课程 安排 合理 练习 紧跟 课件,1
哈哈 正在看<<Operating System Concepts>>这本书，谢谢老师的讲解，帮助理解更深了,正在 看 Operating System Concepts 本书 谢谢 老师 讲解 帮助 理解 更深,1
结合操作系统概念 一起看比较好。李老师说得很好。,结合 操作系统 概念 一起 看 比较 好 李老师 说 很 好,1
特别推荐，老师的课程设计,特别 推荐 老师 课程设计,1
学了这么久，说说你的学习感受,学了 这么久 说 说 学习 感受,1
挺好的，有用,挺 好 有用,1
很好的一门课程,很 好 一门 课程,1
哇！超出预期了,超出 预期,1
讲解的比较全面，到位,讲解 比较 全面 到位,1
非常好非常好,非常 好 非常 好,1
非常非常好！,非常 非常 好,1
讲得清楚，超级喜欢！！！！,讲得 清楚 超级 喜欢,1
学习模式挺不错的,学习 模式 挺不错,1
