Comment,cut_comment,knn_sentiment
能把那个blingbling的声音去掉吗 秋梨膏,blingbling 声音 去掉 秋 梨膏,0
第三章就是在读PPT。。,第三章 在读 PPT,0
老师普通话太差,老师 普通话 太差,0
课程不错，课时稍短，有待增长,课程 不错 课时 稍短 有待 增长,0
看了一会，只是找个活人帮忙念PPT而已，实在难以听进去。,看 一会 找个 活人 帮忙 念 PPT 实在 难以 听 进去,0
挺好的，居然坚持写完了。除了最后一次作业时间突然不是23：30了猝不及防，错过了。,挺 好 居然 坚持 写 完 最后 一次 作业 时间 突然 不是 23 30 猝不及防 错过,0
李老师实录上课视频讲得很清晰，就是声音有时候会断，影响听课。王老师就是在纯念ppt啊…一点老师自己的讲解都没有，对理解实在是没有帮助。,李老师 实录 上课 视频 讲得 很 清晰 声音 有时候 会断 影响 听课 王老师 纯念 ppt … 一点 老师 讲解 都 没有 理解 实在 没有 帮助,0
没纸质证书,没 纸质 证书,0
这个 照本宣科啊,照本宣科,0
很烂的课，内容肤浅，就是念PPT,很烂 课 内容 肤浅 念 PPT,0
看了第一张概念性的东西，感觉讲课方式中规中矩，没有达到理想状态。一些例子举例也不是很生动。我也看了b站的操作系统的视频，感觉b站的老师讲解比这个好。课件和内容都比较好理解。这里有点像学校里面传统老师的讲课方式。没有感到新颖的感觉。,看 第一张 概念性 东西 感觉 讲课 方式 中规中矩 没有 达到 理想 状态 例子 举例 不是 很 生动 看 b 站 操作系统 视频 感觉 b 站 老师 讲解 好 课件 内容 都 比较 好 理解 有点像 学校 里面 传统 老师 讲课 方式 没有 感到 新颖 感觉,0
虽然讲课的文稿经过反复打磨，信息密度高，但有些照本宣科了，不利于初学者理解操作系统，客观上造成逻辑概念与实际割裂的情况,讲课 文稿 反复 打磨 信息 密度 高 照本宣科 不利于 初学者 理解 操作系统 客观 上 造成 逻辑 概念 实际 割裂 情况,0
主观不好评分哎，互评不了。,主观 不好 评分 互评 不了,0
话都说不标准，上什么课呀，呜里哇啦的,话 都 说 不 标准 上 课 呜里 哇啦,0
男老师的普通话真的很糟糕，说话很啰嗦 ，,男 老师 普通话 真的 很 糟糕 说话 很 啰嗦,0
王红玲老师讲解不到位,王红玲 老师 讲解 不 到位,0
普通话不标准,普通话 不 标准,0
视频有的没有声音，重点不讲完全,视频 没有 声音 重点 不 讲 完全,0
一会有声音 一会没声音,一会 声音 一会 没 声音,0
就这还国家精品呢，无论从内容还是制作看都是在敷衍了事，代码部分简单掠过，还真就避重就轻走走形式。建议真想提升的同学看到立马绕道，纯粹浪费时间,还 国家精品 内容 制作 看 都 敷衍了事 代码 部分 简单 掠过 还 真 避重就轻 走走 形式 建议 真想 提升 同学 看到 立马 绕道 纯粹 浪费时间,0
不知道为什么念ppt也能成为精品课程,不 知道 念 ppt 成为 精品课程,0
一般般，不够严谨,一般般 不够 严谨,0
课程很棒，但进度太快了有点茫然,课程 很棒 进度 太快 有点 茫然,0
其实可以做得更好,其实 做 更好,0
讲得不是很细！,讲得 不是 很细,0
我是看了几节课，发现视频录得是教室上课的视频，但是这些实体的视屏录制质量有点差，课程上的投影内容看不清，然后我就换了。,看 几节课 发现 视频 录得 教室 上课 视频 实体 视屏 录制 质量 有点 差 课程 上 投影 内容 看不清 换,0
