Comment,cut_comment,knn_sentiment
能用简单的话把有难度的课说清楚，我就喜欢这种课。,简单 难度 课 说 清楚 喜欢 这种 课,1
徐老师课讲的很好，生动形象，条理清晰，细节满满！ 如果能在之后的讲课中多结合一下现有的技术进行讲课，那就更好了。 五星满分!徐老师加油！,徐 老师 课讲 很 好 生动 形象 条理清晰 细节 满满 之后 讲课 中多 结合 一下 现有 技术 进行 讲课 更好 五星 满分 ! 徐 老师 加油,1
我是这位讲课老师——徐小龙老师的研究生，衷心希望徐老师的课越办越好。加油(ง •_•)ง,这位 讲课 老师 徐 小龙 老师 研究生 衷心希望 徐 老师 课越 办 越好 加油 ง • _ • ง,1
我觉得讲的最好的就是PV操作的部分了，书上讲的那是啥！还是听人讲容易懂。当然了，这老师讲的也是非常好啊。,觉得 讲 最好 PV 操作 部分 书上 讲 听人 讲 容易 懂 当然 老师 讲 非常 好,1
很明显能看出这个老师有认真地备课，不像某些网课，欸。一言难尽,很 明显 看出 老师 认真 备课 不像 网课 欸 一言难尽,1
有条理，有重点，热情又严格。很不错了。,有条理 重点 热情 严格 很 不错,1
能让人感兴趣的课才是好课。课上的很有趣，同时内容也很充实，细节部分也做了课本上没有的补充，炒鸡棒(๑•̀ㅂ•́)و✧,人 感兴趣 课 才 好 课 课上 很 有趣 内容 很 充实 细节 部分 做 课本上 没有 补充 炒鸡 棒 ๑ • ̀ ㅂ • ́ و ✧,1
这个课程我很喜欢，感觉老师说话很有耐心，知识点讲的足够细。 我也推荐我的同学来听这门课了，他们都说挺好的。 希望这位老师网课越办越好，也希望自己在最后的测验中能拿一个好成绩吧。,课程 很 喜欢 感觉 老师 说话 很 耐心 知识点 讲 足够 细 推荐 同学 听 这门 课 都 说 挺 好 希望 这位 老师 网课 越办 越好 希望 最后 测验 中能 好 成绩,1
老师讲的很不错，到位，起码不想某些其他网课，只会读ppt！希望老师尽快更新~~~~~~~~~~~~,老师 讲 很 不错 到位 起码 不想 网课 只会读 ppt 希望 老师 尽快 更新 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~,1
同样徐老师学生，网课完整的听完了，感觉讲的真的不错。条理清晰，细节到位。,同样 徐 老师 学生 网课 完整 听完 感觉 讲 真的 不错 条理清晰 细节 到位,1
讲的不错，比那些只会读ppt的好多了，至少有动力看下去。,讲 不错 只会读 ppt 好多 至少 动力 看 下去,1
整个课程，讲解十分详细，有些课堂上没仔细听的，几乎找到了答案哈哈。,整个 课程 讲解 十分 详细 课堂 上 没 仔细听 几乎 找到 答案,1
我们学校老师上的操作系统有点无聊，我来试试网课,学校 老师 上 操作系统 有点 无聊 我来 试试 网课,1
