0操作系统A: 南京邮电大学
2操作系统: 苏州大学
3操作系统原理: 华中科技大学
4操作系统: 哈尔滨工业大学
5操作系统: 东北大学
6操作系统: 郑州经贸学院
7操作系统及Linux内核:  西安邮电大学
9操作系统原理及应用: 北京交通大学
10操作系统: 武汉理工大学
11操作系统应用（Windows）: 湖南铁道职业技术学院
13计算机操作系统: 青岛大学
14操作系统原理: 西安交通大学
15Linux网络操作系统: 许昌职业技术学院
17计算机操作系统: 南京大学
18操作系统: 中南财经政法大学
19操作系统原理: 淮阴工学院
20操作系统原理: 新乡学院
21Linux操作系统编程: 电子科技大学
22操作系统原理: 北京工业大学
23Linux操作系统基础: 江苏电子信息职业学院
25linux网络操作系统: 江苏财会职业学院
26Linux操作系统: 信阳师范学院
27操作系统: 苏州经贸职业技术学院
28Linux操作系统: 浙江工贸职业技术学院
29计算机操作系统: 电子科技大学
31操作系统原理: 河南工业大学
33操作系统原理与Linux实践: 浙江科技学院
34零基础学Linux操作系统: 常州大学
35大学计算机: 北京理工大学
36数据库系统（上）：模型与语言: 哈尔滨工业大学
37C语言程序设计精髓: 哈尔滨工业大学
38数据结构与算法: 电子科技大学
39大学计算机—计算思维导论: 哈尔滨工业大学
